seed,founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
6,60,True,2647,521,0,0.0,0.1612903225806451,0.3225806451612903,0.935483870967742,0.4838709677419355,,,,,,,,,,
6,61,True,113,8,0,0.0,0.9032258064516128,0.6774193548387096,0.935483870967742,0.6129032258064516,,,,,,,,,,
6,62,True,730,96,0,0.0,1.0,0.7096774193548387,0.6451612903225806,0.5806451612903226,,,,,,,,,,
6,63,True,910,98,0,0.0,0.5483870967741935,0.5161290322580645,0.6451612903225806,0.5806451612903226,,,,,,,,,,
6,64,True,349,11,0,0.0,0.6129032258064516,0.935483870967742,0.8709677419354839,0.6451612903225806,,,,,,,,,,
6,65,True,1434,94,0,0.0,0.2580645161290322,0.3225806451612903,0.2580645161290322,0.935483870967742,,,,,,,,,,
6,66,True,286,23,0,0.0,0.5483870967741935,0.7096774193548387,0.3548387096774194,0.1935483870967742,,,,,,,,,,
6,67,True,969,103,0,0.0,0.5483870967741935,0.8387096774193549,0.6451612903225806,0.6129032258064516,,,,,,,,,,
6,68,False,,15805,96,0.1173594132029339,0.1612903225806451,0.3225806451612903,0.0967741935483871,0.2258064516129032,0.2093413978494623,0.0389538645764587,0.0356182795698924,0.0887682073122856,0.2805779569892473,0.2477841354761752,0.1374327956989247,0.1406285127257472,113.6875,123.0
6,69,True,350,16,0,0.0,0.4193548387096774,0.2580645161290322,0.2903225806451613,0.3225806451612903,,,,,,,,,,
6,70,True,1246,109,0,0.0,0.4516129032258064,0.1612903225806451,0.1290322580645161,0.7419354838709677,,,,,,,,,,
6,71,True,486,16,0,0.0,0.8387096774193549,0.3548387096774194,0.8709677419354839,0.7419354838709677,,,,,,,,,,
6,72,True,21,1,0,0.0,0.7741935483870968,0.7096774193548387,0.935483870967742,0.6451612903225806,,,,,,,,,,
6,73,True,113,4,0,0.0,0.7741935483870968,0.935483870967742,0.6451612903225806,1.0,,,,,,,,,,
6,74,True,507,31,0,0.0,0.5161290322580645,0.7741935483870968,0.3870967741935484,0.8387096774193549,,,,,,,,,,
6,75,True,243,10,0,0.0,0.6451612903225806,0.6129032258064516,0.5161290322580645,0.967741935483871,,,,,,,,,,
6,76,True,342,8,0,0.0,0.2580645161290322,0.3870967741935484,0.6451612903225806,0.935483870967742,,,,,,,,,,
6,77,True,376,41,0,0.0,1.0,0.967741935483871,0.1612903225806451,0.4193548387096774,,,,,,,,,,
6,78,True,243,9,0,0.0,0.5806451612903226,0.7096774193548387,0.7419354838709677,0.935483870967742,,,,,,,,,,
6,79,True,18,1,0,0.0,0.8387096774193549,0.7741935483870968,0.4516129032258064,0.3870967741935484,,,,,,,,,,
6,80,True,746,57,0,0.0,0.7741935483870968,0.7096774193548387,0.4193548387096774,0.6129032258064516,,,,,,,,,,
6,81,True,235,6,0,0.0,0.6451612903225806,0.4516129032258064,0.5161290322580645,0.4838709677419355,,,,,,,,,,
6,82,True,1418,119,0,0.0,0.3548387096774194,0.4516129032258064,0.4193548387096774,0.5483870967741935,,,,,,,,,,
6,83,True,548,21,0,0.0,0.0967741935483871,0.0967741935483871,0.5483870967741935,0.3548387096774194,,,,,,,,,,
6,84,True,408,16,0,0.0,1.0,1.0,0.064516129032258,1.0,,,,,,,,,,
6,85,True,26,1,0,0.0,0.2580645161290322,0.6774193548387096,0.032258064516129,0.8709677419354839,,,,,,,,,,
6,86,True,311,17,0,0.0,0.6451612903225806,0.4838709677419355,0.5483870967741935,0.6774193548387096,,,,,,,,,,
6,87,True,324,13,0,0.0,0.2580645161290322,0.967741935483871,0.6451612903225806,0.6774193548387096,,,,,,,,,,
6,88,True,1198,91,0,0.0,0.1290322580645161,0.6774193548387096,0.2903225806451613,0.1290322580645161,,,,,,,,,,
6,89,True,246,25,0,0.0,0.5806451612903226,0.6774193548387096,0.1290322580645161,0.1935483870967742,,,,,,,,,,
6,90,True,764,31,0,0.0,0.1290322580645161,0.1290322580645161,0.8709677419354839,0.3870967741935484,,,,,,,,,,
6,91,True,2514,691,0,0.0,0.7741935483870968,0.032258064516129,0.032258064516129,0.6451612903225806,,,,,,,,,,
6,92,True,140,5,0,0.0,0.8387096774193549,0.5806451612903226,0.064516129032258,0.2903225806451613,,,,,,,,,,
6,93,True,3487,696,0,0.0,0.064516129032258,0.1290322580645161,0.6129032258064516,0.1612903225806451,,,,,,,,,,
6,94,True,184,5,0,0.0,0.935483870967742,0.1935483870967742,0.8709677419354839,0.4838709677419355,,,,,,,,,,
6,95,True,204,1,0,0.0,0.4193548387096774,0.5483870967741935,0.1290322580645161,0.4516129032258064,,,,,,,,,,
6,96,True,286,20,0,0.0,0.8064516129032258,0.5161290322580645,0.064516129032258,0.3870967741935484,,,,,,,,,,
6,97,False,,64899,397,0.4853300733496332,0.5161290322580645,0.2903225806451613,0.0,0.0967741935483871,0.2929227269033883,0.1772580329452272,0.0371333387503047,0.1163974488614056,0.415617128463476,0.2736932330505103,0.0995368489477533,0.113341592437279,111.7455919395466,124.0
6,98,True,387,21,0,0.0,0.7741935483870968,0.7741935483870968,1.0,0.3225806451612903,,,,,,,,,,
