seed,founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
0,46,True,150,5,0,0.0,0.65,0.6,0.6,0.4,0.55,0.075,,,,,,,,,,,,,,
0,47,True,217,7,0,0.0,0.6,0.8,0.35,0.55,0.8,0.05,,,,,,,,,,,,,,
0,48,True,879,65,0,0.0,1.0,0.15,0.6,1.0,0.5,0.175,,,,,,,,,,,,,,
0,49,True,698,51,0,0.0,0.55,0.9,0.1,0.25,0.2,0.425,,,,,,,,,,,,,,
0,50,True,811,14,0,0.0,0.0,0.3,0.75,1.0,0.85,0.0,,,,,,,,,,,,,,
0,51,True,1358,188,0,0.0,0.4,0.5,0.7,0.65,0.15,0.325,,,,,,,,,,,,,,
0,52,True,175,2,0,0.0,0.5,0.35,0.55,0.55,0.55,0.125,,,,,,,,,,,,,,
0,53,True,182,1,0,0.0,0.05,0.3,0.0,0.7,0.45,0.05,,,,,,,,,,,,,,
0,54,True,764,8,0,0.0,0.15,0.2,1.0,0.9,0.25,0.4,,,,,,,,,,,,,,
0,55,True,425,15,0,0.0,0.7,0.75,0.45,0.9,1.0,0.25,,,,,,,,,,,,,,
0,56,True,866,55,0,0.0,0.15,0.35,0.85,0.0,0.25,0.075,,,,,,,,,,,,,,
0,57,True,597,41,0,0.0,0.5,0.55,0.45,0.65,1.0,0.3,,,,,,,,,,,,,,
0,58,True,261,6,0,0.0,0.4,0.9,0.15,0.55,0.65,0.475,,,,,,,,,,,,,,
0,59,True,161,3,0,0.0,0.35,1.0,0.3,0.4,0.75,0.4,,,,,,,,,,,,,,
0,60,True,165,4,0,0.0,0.5,0.6,0.45,0.8,0.15,0.475,,,,,,,,,,,,,,
0,61,True,352,22,0,0.0,0.55,0.8,0.85,0.65,0.45,0.125,,,,,,,,,,,,,,
0,62,True,453,9,0,0.0,0.4,0.95,0.05,0.95,0.35,0.425,,,,,,,,,,,,,,
0,63,True,1527,447,0,0.0,0.55,0.45,0.5,0.2,0.0,0.45,,,,,,,,,,,,,,
0,64,True,228,3,0,0.0,0.85,0.85,0.15,0.9,0.95,0.325,,,,,,,,,,,,,,
0,65,True,453,52,0,0.0,0.8,0.5,0.9,0.7,0.85,0.375,,,,,,,,,,,,,,
0,66,True,1289,249,0,0.0,0.9,0.0,0.5,0.9,0.15,0.35,,,,,,,,,,,,,,
0,67,True,558,36,0,0.0,0.8,1.0,0.2,0.45,0.45,0.175,,,,,,,,,,,,,,
0,68,True,346,16,0,0.0,0.6,0.8,0.6,0.4,0.2,0.025,,,,,,,,,,,,,,
0,69,False,,112510,606,0.7472256473489519,0.2,0.0,0.2,0.25,0.75,0.025,0.2751650165016501,0.0565617379090914,0.0151815181518151,0.0299980756534437,0.3456270627062706,0.0760071183501069,0.1479372937293729,0.0802216568000113,0.5787953795379538,0.0857891019399004,0.1037953795379538,0.0505133813441839,107.58250825082509,119.0
0,70,True,427,42,0,0.0,0.75,0.85,0.95,0.15,0.9,0.45,,,,,,,,,,,,,,
0,71,True,320,9,0,0.0,0.8,0.15,0.25,0.7,0.6,0.35,,,,,,,,,,,,,,
0,72,True,2195,346,0,0.0,0.85,0.0,0.8,0.7,0.05,0.375,,,,,,,,,,,,,,
0,73,True,2084,690,0,0.0,0.15,0.55,0.6,0.4,0.25,0.225,,,,,,,,,,,,,,
